repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
mckaywrigley/chatbot-ui,AI engineering,AI interface,28489,6,0.02%,28,0.10%,7926,"Come join the best place on the internet to learn AI skills. Use code ""chatbotui"" for an extra 20% off.","mckaywrigley, fkesheh, faraday",47,2023-03-11,2024-06-22,0
ModelTC/lightllm,Infrastructure,Serving,2496,5,0.20%,90,3.61%,197,"LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance.","hiworldwzj, shihaobai, WANDY666",30,2023-07-22,2024-10-10,0
PygmalionAI/aphrodite-engine,Infrastructure,Serving,1040,5,0.48%,28,2.69%,116,Large-scale LLM inference engine,"AlpinDale, 50h100a, StefanGliga",31,2023-06-23,2024-10-09,367
openai/prm800k,Model development,Dataset engineering,1540,5,0.32%,32,2.08%,97,"800,000 step-level correctness labels on LLM solutions to MATH problems",Huntrr,1,2023-04-13,1000-01-01,0
Helicone/helicone,Infrastructure,Monitoring,1790,5,0.28%,29,1.62%,197,"🧊 Open source LLM-Observability Platform for Developers. One-line integration for monitoring, metrics, evals, agent tracing, prompt management, playground, etc. Supports OpenAI SDK, Vercel AI SDK, Anthropic SDK, LiteLLM, LLamaIndex, LangChain, and more. 🍓 YC W23","chitalian, ScottMktn, colegottdank",52,2023-01-31,2024-10-10,0
n4ze3m/page-assist,Applications,Workflow automation,1378,5,0.36%,21,1.52%,134,Use your locally running AI models to assist you in your web browsing,"n4ze3m, colin-campbell, josx",11,2023-04-09,2024-10-02,36
dauparas/ProteinMPNN,Model repo,,968,5,0.52%,13,1.34%,292,Code for the ProteinMPNN paper,"dauparas, sokrypton, roccomoretti",6,2022-05-26,2022-11-29,0
ollama/ollama-js,AI engineering,AI interface,2071,5,0.24%,24,1.16%,154,Ollama JavaScript library,"BruceMacD, saul-jb, jmorganca",19,2023-09-13,2024-09-18,0
openai/simple-evals,AI engineering,Evals,1605,5,0.31%,15,0.93%,139,,"kzl-openai, yuchenhe07, eltociear",5,2024-04-11,2024-09-27,0
huggingface/text-embeddings-inference,Infrastructure,Serving,2684,5,0.19%,25,0.93%,167,A blazing fast inference solution for text embeddings models,"OlivierDehaene, kozistr, XciD",28,2023-10-13,2024-09-18,0
embeddings-benchmark/mteb,AI engineering,Evals,1861,5,0.27%,17,0.91%,250,MTEB: Massive Text Embedding Benchmark,"Muennighoff, KennethEnevoldsen, NouamaneTazi",100+,2022-04-05,2024-10-09,525
guardrails-ai/guardrails,AI engineering,Prompt engineering,3956,5,0.13%,28,0.71%,304,Adding guardrails to large language models.,"CalebCourier, zsimjee, dtam",58,2023-01-29,2024-10-08,0
iryna-kondr/scikit-llm,Model development,Modeling & training,3318,5,0.15%,22,0.66%,270,Seamlessly integrate LLMs into scikit-learn.,"OKUA1, iryna-kondr, AndreasKarasenko",11,2023-05-12,2024-08-04,0
nlmatics/llmsherpa,Applications,Info aggregation,1381,5,0.36%,9,0.65%,137,Developer APIs to Accelerate LLM Projects,"ansukla, AaryanTR, IoanaDragan",8,2023-10-12,2024-06-28,0
argilla-io/argilla,Model development,Dataset engineering,3862,5,0.13%,24,0.62%,361,Argilla is a collaboration tool for AI engineers and domain experts to build high-quality datasets,"frascuchon, alvarobartt, davidberenstein1957",83,2021-04-28,2024-10-10,0
Skyvern-AI/skyvern,Applications,Workflow automation,5915,5,0.08%,34,0.57%,431,Automate browser-based workflows with LLMs and Computer Vision,"ykeremy, LawyZheng, wintonzheng",17,2024-02-28,2024-10-10,0
marqo-ai/marqo,Infrastructure,VectorDB,4535,5,0.11%,22,0.49%,187,Unified embedding generation and search engine. Also available on cloud - cloud.marqo.ai,"pandu-k, wanliAlex, vicilliar",30,2022-08-01,2024-10-09,0
turboderp/exllamav2,Model development,Inference optimization,3547,5,0.14%,17,0.48%,273,A fast inference library for running LLMs locally on modern consumer-class GPUs,"turboderp, SinanAkkoyun, awtrisk",46,2023-08-30,2024-09-29,305347
levihsu/OOTDiffusion,Model repo,Multimodal,5479,5,0.09%,25,0.46%,805,Official implementation of OOTDiffusion: Outfitting Fusion based Latent Diffusion for Controllable Virtual Try-on,"levihsu, T-Gu",2,2024-01-24,2024-03-08,0
Exafunction/codeium.vim,Applications,Coding,4144,5,0.12%,18,0.43%,147,"Free, ultrafast Copilot alternative for Vim and Neovim","fortenforge, pqn, sullivan-sean",44,2023-01-03,2024-10-07,0
ibis-project/ibis,Infrastructure,Data management,5166,5,0.10%,22,0.43%,590,the portable Python dataframe library,"cpcloud, ibis-squawk-bot[bot], kszucs",100+,2015-04-17,2024-10-10,125
arsenetar/dupeguru,AI engineering,Dataset engineering,5327,5,0.09%,22,0.41%,414,Find duplicate files,"arsenetar, glubsy, jpvlsmv",29,2013-06-22,2024-08-23,1404528
OthersideAI/self-operating-computer,Applications,Workflow automation,8704,5,0.06%,34,0.39%,1150,A framework to enable multimodal models to operate a computer.,"joshbickett, michaelhhogue, klxu03",24,2023-11-04,2024-05-16,0
skypilot-org/skypilot,Infrastructure,Compute management,6647,5,0.08%,25,0.38%,490,"SkyPilot: Run AI and batch jobs on any infra (Kubernetes or 12+ clouds). Get unified execution, cost savings, and high GPU availability via a simple interface.","Michaelvll, concretevitamin, romilbhardwaj",91,2021-08-11,2024-10-10,0
kserve/kserve,Infrastructure,Serving,3517,5,0.14%,13,0.37%,1047,Standardized Serverless ML Inference Platform on Kubernetes,"yuzisun, sivanantha321, andyi2it",100+,2019-03-27,2024-10-10,1110214
zenml-io/zenml,Infrastructure,Compute management,3983,5,0.13%,14,0.35%,431,ZenML 🙏: The bridge between ML and Ops. https://zenml.io.,"htahir1, strickvl, bcdurak",95,2020-11-19,2024-10-10,1
luban-agi/Awesome-AIGC-Tutorials,Tutorials,,3821,5,0.13%,13,0.34%,259,"Curated tutorials and resources for Large Language Models, AI Painting, and more. ",zht1130,1,2023-08-22,1000-01-01,0
LiheYoung/Depth-Anything,Model repo,,6858,5,0.07%,23,0.34%,526,[CVPR 2024] Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data. Foundation Model for Monocular Depth Estimation,"LiheYoung, 1ssb",2,2024-01-22,2024-07-07,0
salesforce/LAVIS,Model development,Modeling & training,9747,5,0.05%,27,0.28%,954,LAVIS - A One-stop Library for Language-Vision Intelligence,"dxli94, henryhungle, artemisp",21,2022-08-24,2023-12-12,0
threestudio-project/threestudio,Model repo,Multimodal,6198,5,0.08%,17,0.27%,474,A unified framework for 3D content generation.,"bennyguo, thuliu-yt16, DSaurus",29,2023-04-06,2024-10-02,0
neuml/txtai,Infrastructure,VectorDB,8839,5,0.06%,22,0.25%,579,"💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows","davidmezzetti, saucam, 0206pdh",16,2020-08-09,2024-08-12,8248
arogozhnikov/einops,Infrastructure,Toolings,8422,5,0.06%,19,0.23%,351,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)","arogozhnikov, MilesCranmer, cgarciae",26,2018-09-22,2024-09-21,0
EleutherAI/gpt-neox,Model development,Modeling & training,6870,5,0.07%,15,0.22%,997,"An implementation of model parallel autoregressive transformers on GPUs, based on the Megatron and DeepSpeed libraries","StellaAthena, sdtblck, joshlk",99,2020-12-22,2024-10-08,0
divamgupta/diffusionbee-stable-diffusion-ui,Applications,Image production,12479,5,0.04%,27,0.22%,616,Diffusion Bee is the easiest way to run Stable Diffusion locally on your M1 Mac. Comes with a one-click installer. No dependencies or technical knowledge needed.,"divamgupta, AEtheve, CrudeDiatribe",17,2022-09-06,2023-12-28,735216
modularml/mojo,Model development,Modeling & training,23016,5,0.02%,47,0.20%,2587,The Mojo Programming Language,"abduld, JoeLoser, lattner",100+,2023-04-28,1000-01-01,0
Unity-Technologies/ml-agents,Applications,Bots,17018,5,0.03%,31,0.18%,4148,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,"vincentpierre, awjuliani, surfnerd",100+,2017-09-08,2024-10-05,87
PaddlePaddle/PaddleSpeech,Model development,Modeling & training,10995,5,0.05%,20,0.18%,1831,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming TTS with text frontend, Speaker Verification System, End-to-End Speech Translation and Keyword Spotting. Won NAACL2022 Best Demo Award.","zh794390558, yt605155624, Jackwaterveg",100+,2017-11-14,2024-10-09,0
PKU-YuanGroup/Open-Sora-Plan,Model repo,Multimodal,11313,5,0.04%,18,0.16%,1009,"This project aim to reproduce Sora (Open AI T2V model), we wish the open source community contribute to this project.","LinB203, qqingzheng, clownrat6",34,2024-02-20,2024-10-05,0
botpress/botpress,AI engineering,Agent,12614,5,0.04%,17,0.13%,1761,The open-source hub to build & deploy GPT/LLM Agents ⚡️,"franklevasseur, AbrahamLopez10, michaelmass",22,2016-11-16,2024-10-09,0
HigherOrderCO/Bend,Model development,Modeling & training,17287,5,0.03%,20,0.12%,426,"A massively parallel, high-level programming language","developedby, imaqtkatt, LunaAmora",42,2023-08-29,2024-10-09,0
magic-research/magic-animate,Model repo,Multimodal,10409,5,0.05%,12,0.12%,1066,[CVPR 2024] MagicAnimate: Temporally Consistent Human Image Animation using Diffusion Model,zcxu-eric,1,2023-11-21,1000-01-01,0
EssayKillerBrain/WriteGPT,Applications,Writing,5320,5,0.09%,6,0.11%,913,基于开源GPT2.0的初代创作型人工智能 | 可扩展、可进化,"Y1ran, trustyboy, TrellixVulnTeam",3,2020-09-29,2023-02-16,0
Vision-CAIR/MiniGPT-4,Model repo,Multimodal,25344,5,0.02%,17,0.07%,2912,"Open-sourced codes for MiniGPT-4 and MiniGPT-v2 (https://minigpt-4.github.io, https://minigpt-v2.github.io/)","junchen14, TsuTikgiau, xiaoqian-shen",13,2023-04-15,2023-11-01,0
hpcaitech/ColossalAI,Model development,Modeling & training,38715,5,0.01%,23,0.06%,4339,"Making large AI models cheaper, faster and more accessible","FrankLeeeee, ver217, feifeibear",100+,2021-10-28,2024-10-10,0
xai-org/grok-1,Model repo,,49473,5,0.01%,11,0.02%,8322,Grok open release,"ibab, syzymon, mane",6,2024-03-17,2024-03-18,0
DAGWorks-Inc/burr,AI engineering,AIE framework,1178,4,0.34%,24,2.04%,62,"Build applications that make decisions (chatbots, agents, simulations, etc...). Monitor, trace, persist, and execute on your own infrastructure.","elijahbenizzy, skrawcz, zilto",12,2024-01-29,2024-10-02,0
aurelio-labs/semantic-router,AI engineering,AIE framework,1981,4,0.20%,37,1.87%,213,Superfast AI decision making and intelligent processing of multi-modal data.,"jamescalam, Siraj-Aizlewood, simjak",35,2023-10-30,2024-10-08,0
Azure/PyRIT,AI engineering,Evals,1793,4,0.22%,30,1.67%,340,The Python Risk Identification Tool for generative AI (PyRIT) is an open access automation framework to empower security professionals and machine learning engineers to proactively find risks in their generative AI systems.,"rlundeen2, romanlutz, rdheekonda",40,2023-12-12,2024-10-10,0
noamgat/lm-format-enforcer,AI engineering,Prompt engineering,1442,4,0.28%,24,1.66%,66,"Enforce the output format (JSON Schema, Regex etc) of a language model","noamgat, aw632, AriX",10,2023-09-21,2024-09-28,0
lucidrains/vector-quantize-pytorch,Model development,Inference optimization,2484,4,0.16%,28,1.13%,198,"Vector (and Scalar) Quantization, in Pytorch","lucidrains, sekstini, MisterBourbaki",17,2020-06-09,2024-08-27,0
sigoden/aichat,Applications,Bots,4014,4,0.10%,41,1.02%,271,"All-in-one AI CLI tool featuring Chat-REPL, Shell Assistant, RAG, AI tools & agents, with access to OpenAI, Claude, Gemini, Ollama, Groq, and more.","sigoden, rolfwilms, dtrckd",22,2023-03-03,2024-10-09,3484
tensorchord/pgvecto.rs,Infrastructure,VectorDB,1710,4,0.23%,15,0.88%,66,"Scalable, Low-latency and Hybrid-enabled Vector Search in Postgres. Revolutionize Vector Search, not Database.","usamoi, kemingy, VoVAllen",19,2023-04-15,2024-10-09,937
TransformerLensOrg/TransformerLens,AI engineering,Evals,1463,4,0.27%,12,0.82%,287,A library for mechanistic interpretability of GPT-style language models,"neelnanda-io, bryce13950, alan-cooney",84,2022-08-26,2024-10-09,0
huggingface/safetensors,Infrastructure,Toolings,2811,4,0.14%,20,0.71%,193,"Simple, safe way to store and distribute tensors","Narsil, mishig25, thomasw21",45,2022-09-22,2024-10-08,0
huggingface/datatrove,Model development,Dataset engineering,1983,4,0.20%,13,0.66%,138,Freeing data processing from scripting madness by providing a set of platform-agnostic customizable pipeline processing blocks.,"guipenedo, alexchapeaux, hynky1999",32,2023-06-14,2024-09-11,0
pezzolabs/pezzo,AI engineering,AIE framework,2461,4,0.16%,13,0.53%,202,"🕹️ Open-source, developer-first LLMOps platform designed to streamline prompt design, version management, instant delivery, collaboration, troubleshooting, observability and more.","arielweinberger, ItayElgazar, eylonmiz",19,2023-04-22,2024-07-23,0
stanford-crfm/helm,AI engineering,Evals,1895,4,0.21%,10,0.53%,244,"Holistic Evaluation of Language Models (HELM), a framework to increase the transparency of language models (https://arxiv.org/abs/2211.09110). This framework is also used to evaluate text-to-image models in HEIM (https://arxiv.org/abs/2311.04287) and vision-language models in VHELM (https://arxiv.org/abs/2410.07112).","teetone, yifanmai, percyliang",88,2021-11-29,2024-10-10,0
PKU-Alignment/safe-rlhf,Model development,Modeling & training,1317,4,0.30%,6,0.46%,119,Safe RLHF: Constrained Value Alignment via Safe Reinforcement Learning from Human Feedback,"XuehaiPan, rockmagma02, calico-1226",4,2023-05-15,2024-06-13,0
bbycroft/llm-viz,Tutorials,,3909,4,0.10%,16,0.41%,425,3D Visualization of an GPT-style LLM,"bbycroft, iblech",2,2023-03-01,2023-12-05,0
PrefectHQ/marvin,AI engineering,Prompt engineering,5207,4,0.08%,18,0.35%,329,✨ Build AI interfaces that spark joy,"jlowin, zzstoatzz, aaazzam",44,2023-03-10,2024-04-14,0
FlagAlpha/Llama2-Chinese,Model repo,Multilingual,13773,4,0.03%,47,0.34%,1236,Llama中文社区，Llama3在线体验和微调模型已开放，实时汇总最新Llama3学习资料，已将所有代码更新适配Llama3，构建最好的中文Llama大模型，完全开源可商用,"Rayrtfr, LlamaFamily, ZHangZHengEric",15,2023-07-19,2024-07-25,0
zilliztech/GPTCache,Infrastructure,Serving,7161,4,0.06%,24,0.34%,503,Semantic cache for LLMs. Fully integrated with LangChain and llama_index. ,"SimFG, cxie, jaelgu",42,2023-03-24,2024-09-18,289
AbdBarho/stable-diffusion-webui-docker,Infrastructure,Toolings,6667,4,0.06%,22,0.33%,1113,Easy Docker setup for Stable Diffusion with user-friendly UI,"AbdBarho, DevilaN, KagurazakaNyaa",23,2022-08-27,2024-06-23,186839
PanQiWei/AutoGPTQ,Model development,Inference optimization,4388,4,0.09%,14,0.32%,471,"An easy-to-use LLMs quantization package with user-friendly apis, based on GPTQ algorithm.","PanQiWei, qwopqwop200, fxmarty",45,2023-04-13,2024-09-28,859712
pytorch-labs/gpt-fast,Model development,Inference optimization,5590,4,0.07%,17,0.30%,510,Simple and efficient pytorch-native transformer text generation in <1000 LOC of python.,"yanboliang, Chillee, mikekgfb",20,2023-10-17,2024-09-16,0
defog-ai/sqlcoder,Applications,Coding,3328,4,0.12%,10,0.30%,211,SoTA LLM for converting natural language questions to SQL queries,"rishsriv, wendy-aw, cds-1993",6,2023-08-17,2024-05-23,0
metavoiceio/metavoice-src,Model repo,Multimodal,3784,4,0.11%,11,0.29%,651,"Foundational model for human-like, expressive TTS","sidroopdaska, lucapericlp, vatsalaggarwal",10,2024-02-06,2024-07-18,0
eugeneyan/open-llms,Lists,,11018,4,0.04%,29,0.26%,704,📋 A list of open LLMs available for commercial use.,"eugeneyan, ozppupbg, Muhtasham",29,2023-05-05,2024-05-25,0
THUDM/CodeGeeX,Model repo,,8176,4,0.05%,21,0.26%,598,CodeGeeX: An Open Multilingual Code Generation Model (KDD 2023),"Stanislas0, BBuf, ss18",12,2022-09-17,2023-03-06,0
replicate/cog,Infrastructure,Toolings,7921,4,0.05%,20,0.25%,552,Containers for machine learning,"bfirsh, andreasjansson, nickstenning",61,2021-02-26,2024-10-09,55499
Trusted-AI/adversarial-robustness-toolbox,AI engineering,Evals,4800,4,0.08%,12,0.25%,1156,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","beat-buesser, minhitbk, killianlevacher",100+,2018-03-15,2024-10-07,0
THUDM/CogVLM,Model repo,Multimodal,5932,4,0.07%,14,0.24%,407,a state-of-the-art-level open visual language model | 多模态预训练模型,"zRzRzRzRzRzRzR, 1049451037, wenyihong",18,2023-09-18,2024-05-29,0
HumanAIGC/OutfitAnyone,Applications,Image production,5580,4,0.07%,13,0.23%,427,Outfit Anyone: Ultra-high quality virtual try-on for Any Clothing and Any Person,HumanAIGC,1,2023-12-12,1000-01-01,0
ztjhz/BetterChatGPT,Applications,Bots,8078,4,0.05%,18,0.22%,2718,An amazing UI for OpenAI's ChatGPT (Website + Windows + MacOS + Linux),"ztjhz, ayaka14732, tnga",43,2023-03-03,2024-05-14,91561
microsoft/UFO,Applications,Workflow automation,7637,4,0.05%,17,0.22%,1048,A UI-Focused Agent for Windows OS Interaction.,"vyokky, Mac0q, Lenny2Liu",14,2024-01-08,2024-09-08,0
allegroai/clearml,Infrastructure,Serving,5622,4,0.07%,12,0.21%,651,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution","alex-burlacu-clear-ml, pollfly, clearml-bot",95,2019-06-10,2024-09-20,2243
HumanAIGC/EMO,Model repo,,7452,4,0.05%,15,0.20%,901,Emote Portrait Alive: Generating Expressive Portrait Videos with Audio2Video Diffusion Model under Weak Conditions,"lucaskingjade, HumanAIGC",2,2024-02-27,1000-01-01,0
